num_resource 2
num_copy 4
begin_parameter 
403.444	-0.0298871	0.00746112	0.00148735	0.037574	-1.16154	-2.65791
304.353	-0.0197389	-0.000874162	0.00566706	-0.0124903	2.65226	1.6508

253.663	-0.0183164	-0.00365446	-0.00696242	-0.0316964	-2.4772	0.930963
459.992	0.0297496	0.00825992	0.00123219	0.0268675	-1.81082	0.961407

291.342	0.00442085	0.00496381	0.00558282	0.0145338	0.761429	-0.919966
412.837	0.0349031	-0.00139452	0.00737519	-0.0248359	2.42763	0.955264

383.356	0.024712	-0.00170044	0.000961461	-0.0336044	1.45856	1.2557
295.935	0.0270237	-0.00303611	-0.00952589	0.0167733	-1.49972	0.535779

